Merchant,Branch,1st time users,Organic sum of spend,Sum of Comission,Sum of rewards,% of Net Reward,Net Reward,Net Win/Loss,Avg Reward,Total GMV,Free Trial Until
NeNe Chicken,410 Elizabeth Street,70,$41.16,$832.65,"$1,248.97",0.76%,-$416.32,-5.00%,14.99,"$8,326.49",23/05/18
Burger Project,MLC Martin Place,69,$5.52,$0.00,$168.18,0.10%,-$168.18,-15.00%,15,"$1,121.19",12/10/19
Mai Viet,Redfern,69,$15.00,$122.40,$122.40,0.07%,$0.00,0.00%,10.81,"$1,223.97",30/09/18
DoDee Paidang Thai,Haymarket,69,$43.69,$0.00,"$1,645.37",1.00%,"-$1,645.37",-10.00%,10,"$16,460.89",30/09/19
Granny Wolf BBQ,Chippendale,68,$5.79,$84.35,$84.35,0.05%,$0.00,0.00%,25,$843.50,âˆ…
Oliver Brown Cafe,Eastland Shopping Centre,66,$14.97,$61.91,$61.91,0.04%,$0.00,0.00%,25,$412.70,âˆ…
Ajisen Ramen,Highpoint Shopping Centre,66,$68.63,$776.57,$517.71,0.31%,$258.86,5.00%,10,"$5,177.10",31/08/18
The Dessert Kitchen,Melbourne CBD,66,$38.54,$458.27,$458.27,0.28%,$0.00,0.00%,15,"$3,055.15",âˆ…
New Shanghai,Ashfield,65,$60.58,$0.00,$685.47,0.42%,-$685.47,-10.00%,14.26,"$6,854.65",30/06/19
Din Tai Fung,Broadway Shopping Centre,62,$30.19,$0.00,$513.13,0.31%,-$513.13,-15.00%,15,"$3,420.85",30/06/19
Messina,Rosebery,62,$18.21,$127.44,$127.44,0.08%,$0.00,0.00%,15,"$1,274.40",30/11/18
Din Tai Fung,World Square Shopping Centre,59,$100.42,$0.00,"$1,465.35",0.89%,"-$1,465.35",-14.15%,21.85,"$10,353.55",30/06/19
Gotcha,Haymarket,58,$4.67,$131.22,$279.03,0.17%,-$147.81,-8.45%,15,"$1,749.54",âˆ…
Mad Mex,Randwick,58,$4.97,$89.55,$89.55,0.05%,$0.00,0.00%,15,$596.98,31/08/18
Blackball,Clayton,56,$34.25,$211.42,$211.42,0.13%,$0.00,0.00%,10,"$2,114.20",âˆ…
Burger Project,Bourke Street,54,$11.91,$0.00,$310.94,0.19%,-$310.94,-15.00%,15,"$2,072.90",12/10/19
Blackball,Chinatown,53,$31.39,$394.44,$394.44,0.24%,$0.00,0.00%,15,"$3,944.40",âˆ…
Sharetea,Clayton,53,$29.28,$231.92,$231.92,0.14%,$0.00,0.00%,20,"$2,319.20",31/03/19
YiFang Taiwan Fruit Tea,Cabramatta,49,$7.87,$68.05,$68.05,0.04%,$0.00,0.00%,25,$680.50,âˆ…
New Shanghai,Emporium,49,$72.51,$0.00,"$1,846.53",1.12%,"-$1,846.53",-9.49%,10,"$19,451.43",30/04/19
Burger Project,Circular Quay,47,$7.03,$0.00,$284.88,0.17%,-$284.88,-15.00%,13.82,"$1,899.17",12/10/19
Roll'd,Bondi Junction,47,$25.58,$145.31,$145.31,0.09%,$0.00,0.00%,10,$968.70,14/05/18
Kusuka,Sydney,47,$66.03,$341.32,$341.32,0.21%,$0.00,0.00%,15,"$2,275.45",22/12/18
Din Tai Fung,Central Park Mall,45,$78.47,$0.00,"$1,018.40",0.62%,"-$1,018.40",-14.88%,14.4,"$6,843.80",30/06/19
Lanzhou Beef Noodle Bar,The Glen Shopping Centre,44,$60.06,$0.00,"$1,257.64",0.76%,"-$1,257.64",-14.49%,15,"$8,677.00",31/12/19
