Id,Name,Suburb,Zomato Name,levenshtein,n,url
626.0,The Giant Bean,Marrickville,The Giant Bean Cafe,5,1,"https://www.zomato.com/sydney/the-giant-bean-cafe-marrickville
"
641.0,Zushi,Surry Hills,Zushi Surry Hills,12,1,"https://www.zomato.com/sydney/zushi-surry-hills-surry-hills
"
298.0,Sicilian Restaurant,Parramatta,Sicilian Parramatta,8,1,"https://www.zomato.com/sydney/sicilian-parramatta-parramatta
"
1598.0,Mrs Chan's Kitchen,Sydney,Mrs Chan's Kitchen - Charlie Chans,16,1,"https://www.zomato.com/sydney/mrs-chans-kitchen-charlie-chans-haymarket
"
1112.0,Messina,Bondi,Gelato Messina,7,9,"https://www.zomato.com/sydney/gelato-messina-bondi-beach
"
722.0,Andaqua,Surry Hills,Andaqua Vietnamese Restaurant,22,1,"https://www.zomato.com/sydney/andaqua-vietnamese-restaurant-surry-hills
"
880.0,Bangbang Espresso,Surry Hills,Bangbang Cafe,7,1,"https://www.zomato.com/sydney/bangbang-cafe-surry-hills
"
1264.0,Crafty Cuts,MLC Centre,Crafty Cuts Roastery,9,1,"https://www.zomato.com/sydney/crafty-cuts-roastery-cbd
"
1588.0,Tontaro Ramen,Sydney,Tontaro Ramen Honten,7,1,"https://www.zomato.com/sydney/tontaro-ramen-honten-cbd
"
1471.0,The Caffeine Project,Chippendale,TNS Coffee Project,5,1,"https://www.zomato.com/sydney/tns-coffee-project-chippendale
"
686.0,Bao Dao,Chatswood,Bao Dao Taiwanese Kitchen,18,1,"https://www.zomato.com/sydney/bao-dao-taiwanese-kitchen-chatswood
"
1683.0,China Chilli,Chatswood,China Chilli - Chatswood Interchange,24,1,"https://www.zomato.com/sydney/china-chilli-chatswood-interchange-chatswood
"
674.0,Two Sticks,Haymarket - The Quay,Two Sticks: Quay St,9,4,"https://www.zomato.com/sydney/two-sticks-quay-st-haymarket
"
823.0,Ipoh ,George Street,Ipoh Town,4,2,"https://www.zomato.com/sydney/ipoh-town-the-rocks
"
1513.0,Enjoy Cafe by Enjoy Mie,Sydney,Enjoy Cafe,13,1,"https://www.zomato.com/sydney/enjoy-cafe-haymarket
"
1473.0,Basax Korean,Haymarket,Basax Korean Chicken and Dining,19,1,"https://www.zomato.com/sydney/basax-korean-chicken-and-dining-haymarket
"
1076.0,Condor Japanese Restaurant,Sydney,Condor Japanese Restaurant - The York Hotel,17,1,"https://www.zomato.com/sydney/condor-japanese-restaurant-the-york-hotel-cbd
"
1667.0,Chef's Gallery,Jamison,Chefs Gallery Yum Cha,9,3,"https://www.zomato.com/sydney/chefs-gallery-yum-cha-cbd
"
1512.0,85 Degrees Cafe,Meriton Tower,85 Degrees Bakery & Cafe,9,1,"https://www.zomato.com/sydney/85-degrees-bakery-cafe-cbd
"
881.0,Arthurs Pizza,Bexley,Arthur's Express,8,3,"https://www.zomato.com/sydney/arthurs-express-bexley
"
982.0,Monte Alto,Crows Nest,Monte Alto Eatery and Bar,15,1,"https://www.zomato.com/sydney/monte-alto-eatery-and-bar-crows-nest
"
907.0,Bitter and Twisted,Millers Point,Bitter & Twisted,3,1,"https://www.zomato.com/sydney/bitter-twisted-millers-point
"
1260.0,4 Ounces Burger,Alexandria,4 Ounces Burger Co,3,1,"https://www.zomato.com/sydney/4-ounces-burger-co-alexandria
"
720.0,Swanky Noodle,Parramatta,Swanky Noodle Restaurant,11,1,"https://www.zomato.com/sydney/swanky-noodle-restaurant-parramatta
"
1635.0,Makanai Ramen Noodle House,Chatswood,Makanai,19,2,"https://www.zomato.com/sydney/makanai-chatswood
"
374.0,Busshari,Potts Point,Busshari Authentic Japanese Restaurant,30,1,"https://www.zomato.com/sydney/busshari-authentic-japanese-restaurant-elizabeth-bay
"
1439.0,LuMi Dining,Pyrmont,LuMi Bar & Dining,6,3,"https://www.zomato.com/sydney/lumi-bar-dining-pyrmont
"
1218.0,Shinsen Sushi,Sydney,Sushi Shinsen,10,1,"https://www.zomato.com/sydney/sushi-shinsen-cbd
"
1619.0,Chongqing Street Noodle,Chatswood,Chongqing Street Noodle 猫婆小面,5,1,"https://www.zomato.com/sydney/chongqing-street-noodle-1-chatswood
"
623.0,Ouroboros,Surry Hills,Ouroboros Wholefoods Cafe,16,1,"https://www.zomato.com/sydney/ouroboros-wholefoods-cafe-1-surry-hills
"
1342.0,Fratelli Famous,World Square,Fratelli Famous Pizzeria,9,2,"https://www.zomato.com/sydney/fratelli-famous-pizzeria-cbd
"
1167.0,Mamasan,Surry Hills,Mamasan Surry Hills,12,1,"https://www.zomato.com/sydney/mamasan-surry-hills-surry-hills
"
1655.0,Dumpling House,Chatswood,The Dumpling House,4,1,"https://www.zomato.com/sydney/the-dumpling-house-1-chatswood
"
1355.0,Ricefields,Steam Mill Lane,Ricefields 米味,3,1,"https://www.zomato.com/sydney/ricefields-haymarket
"
1146.0,Village Crown,Zetland,The Village Crown,4,1,"https://www.zomato.com/sydney/the-village-crown-zetland
"
1232.0,Dumplings and Beer,Potts Point,Dumplings & Beer,3,2,"https://www.zomato.com/sydney/dumplings-beer-potts-point
"
1648.0,IKU Wholefood,Glebe,Iku Wholefood,2,1,"https://www.zomato.com/sydney/iku-wholefood-glebe
"
1195.0,Phuong Restaurant,Crows Nest,Phuong,11,2,"https://www.zomato.com/sydney/phuong-crows-nest
"
1389.0,Kusuka,Sydney,Kusuka On Sussex,10,1,"https://www.zomato.com/sydney/kusuka-on-sussex-cbd
"
