,Name,Suburb,Id,Zomato Name,url
0,New Shanghai,Ashfield,1563.0,New Shanghai Night,"https://www.zomato.com/sydney/new-shanghai-night-ashfield
"
1,New Shanghai,Ashfield,1563.0,New Shanghai,"https://www.zomato.com/sydney/new-shanghai-ashfield
"
0,New Shanghai,Chatswood Chase,1562.0,Sugar N Spice,"https://www.zomato.com/sydney/sugar-n-spice-chatswood
"
0,Mulan Temple,Newtown,1599.0,Mulan Temple,"https://www.zomato.com/sydney/bite-of-china-newtown
"
0,Mrs Chan's Kitchen,Sydney,1598.0,Mrs Chan's Kitchen - Charlie Chans,"https://www.zomato.com/sydney/mrs-chans-kitchen-charlie-chans-haymarket
"
0,Mr Crackles,Darlinghurst,1385.0,Mr Crackles,"https://www.zomato.com/sydney/mr-crackles-darlinghurst
"
0,Monte Alto,Crows Nest,982.0,Monte Alto Eatery and Bar,"https://www.zomato.com/sydney/monte-alto-eatery-and-bar-crows-nest
"
0,Messina,Rosebery,1121.0,Gelato Messina,"https://www.zomato.com/sydney/gelato-messina-rosebery
"
0,Messina,Circular Quay,1113.0,Gelato Messina,"https://www.zomato.com/sydney/gelato-messina-cbd
"
0,Messina,Newtown,1119.0,Gelato Messina,"https://www.zomato.com/sydney/gelato-messina-newtown
"
0,Messina,The Star,1114.0,Gelato Messina,"https://www.zomato.com/sydney/gelato-messina-pyrmont
"
0,Messina,Surry Hills,1117.0,Gelato Messina,"https://www.zomato.com/sydney/gelato-messina-surry-hills
"
0,Messina,Parramatta,1120.0,Gelato Messina,"https://www.zomato.com/sydney/gelato-messina-parramatta
"
0,Messina,Darlinghurst,1116.0,Gelato Messina,"https://www.zomato.com/sydney/gelato-messina-darlinghurst
"
0,Messina,Bondi,1112.0,Gelato Messina,"https://www.zomato.com/sydney/gelato-messina-bondi-beach
"
0,Messina,Tramsheds,1115.0,Gelato Messina,"https://www.zomato.com/sydney/gelato-messina-forest-lodge
"
0,Meet Fresh,Chinatown,1554.0,Meet Fresh,"https://www.zomato.com/sydney/meet-fresh-haymarket
"
